name,latitude,longitude,Cluster
The Lox,51.232597,6.744861,3
Restaurant le flair,51.23936,6.794235,3
Da Cla Restaurant,51.215466,6.755881,4
The Bull Steak Expert,51.23167,6.781828,1
Los Chicos,51.226997,6.774064,4
Pizzeria Trattoria Romantica,51.23377,6.792557,4
Sattgrun,51.219303,6.776074,1
Vossen,51.214493,6.787131,0
L'Arte in Cucina,51.237118,6.862177,4
Munstermann Kontor,51.222507,6.774181,0
Nagaya,51.22551,6.786175,2
Askitis,51.237713,6.80222,4
QOMO Restaurant & Bar,51.21781,6.761422,2
Oktopussy,51.239834,6.786042,0
Lezzet Restaurant,51.243004,6.781301,4
Bob & Mary,51.2149,6.756555,1
Kushi-Tei Of Tokyo,51.223232,6.789457,2
Naniwa Noodles & Soups,51.224888,6.788127,2
Heinemann Konditorei Confiserie,51.219803,6.780594,0
Takumi,51.22345,6.788506,2
Ristorante Amici,51.242184,6.721956,4
Weinhaus Tante Anna,51.22702,6.773639,1
Schweine Janes,51.226135,6.77299,0
Casita Mexicana Bilk,51.21068,6.774462,1
El Lazo,51.226063,6.772845,3
Yabase,51.224724,6.788594,2
The Classic Western Steakhouse,51.237263,6.793406,3
Fleckenstein's Restaurant. Wine. Bar.,51.24045,6.78973,3
Covent Garden Coffee House,51.210777,6.774118,3
Im Schiffchen,51.301517,6.733808,3
Sabo,51.24346,6.801947,1
O'Reilly's Irish Pubs,51.226963,6.7754,3
Bibimcup,51.222664,6.787011,1
Brauerei Im Fuchschen,51.229565,6.775334,0
Bauernstube Deppe,51.273556,6.776283,0
Bob & Mary,51.223827,6.772756,3
Schillings im Schauspielhaus,51.228394,6.783959,0
Restaurant Da Bruno,51.220303,6.789201,4
Fleher Hof,51.191235,6.770786,0
DOX Restaurant & Bar,51.21648,6.752752,1
Casa Luigi,51.22121,6.773869,4
Clube Portugues,51.21964,6.811763,4
Byliny,51.21277,6.766603,0
Seoul,51.22504,6.787241,2
Brauerei Schumacher,51.221546,6.785471,0
Suvai Bar & Restaurant,51.44861,7.01309,1
Eis Casal - Die Eismacher,51.44611,6.975667,1
Der Bonner Hof,51.363384,6.939854,4
Viva-la-Vida,51.440445,7.012336,1
Pottsalat,51.44873,7.00764,1
Cowboystyle Steakhouse,51.432095,7.001277,3
Lua vietnamese Kitchen,51.456722,7.007497,1
PANs Bebop,51.436165,7.002425,1
Restaurant Tablo,51.44929,7.012142,1
SCHIFFERS,51.38804,7.001581,0
Pfefferkorn,51.454258,7.012392,4
Mongo's - Essen,51.458992,7.001174,2
Schote,51.435165,7.007476,0
Il Mulino,51.453644,7.011797,4
Tofino,51.44219,7.017535,3
HANS IM GLUECK Burgergrill & Bar,51.429596,7.003242,1
Sattgrun,51.45398,7.011503,1
Mr.nam 68,51.45861,7.007081,2
Jagdhaus Schellenberg,51.409615,7.036515,0
Mezzo Mezzo,51.45533,7.013517,4
Restaurant Hannappel,51.437218,7.105025,0
Rutteria Lorenzo,51.444923,7.009275,4
DAMPFE - das Borbecker Brauhaus,51.473568,6.946881,0
Banana Leaf,51.457886,7.010606,2
Tatort,51.428127,7.002739,0
Odyssia The greek Restaurant,51.436153,7.007778,1
200g Grill & Bar,51.440582,6.995896,3
Sa Rang Bang,51.428406,6.998792,2
Sushihaus,51.432404,7.003668,2
Habibiz,51.437504,7.004869,1
Rotisserie du Sommelier,51.432255,7.003383,3
BLOCK HOUSE Essen,51.456448,7.011388,3
CoCoLa,51.4368,7.0002,2
Pauls Brasserie,51.44898,7.01211,3
Casino Zollverein,51.486156,7.044934,0
Trattoria Pizzeria Venezia,51.439434,7.006122,4
Farina,51.4583,7.004301,4
Cavos Couzina,51.39723,7.079716,4
Fritzpatrick's Irish Pub,51.431072,7.003924,3
La Petite Cave de Jeannette,51.43631,7.00018,3
Sudtiroler Stuben,51.4051,7.015581,0
Taste it india,51.459175,7.009615,2
Le chat noir,51.43962,7.010609,0
Road Stop,51.38791,6.943481,3
Restoran Ponistra,51.44223,7.00668,1
Zum Siepenkotter,51.44706,7.04339,0
Hugenpoettchen in der Remise,51.361984,6.917212,0
Zodiac,51.440742,7.007933,1
Eleon Meze Bar,51.440166,7.00625,4
Leo's Casa,51.456047,7.010961,4
Maindiner,50.098976,8.693056,1
Elia,50.10456,8.641389,4
Trattoria i Siciliani,50.104904,8.684424,4
AROMA,50.12387,8.681382,1
Restaurant Medici,50.111725,8.679165,0
The Legacy Bar & Grill,50.10551,8.666444,1
Waxy's Irish Bar,50.115845,8.677024,1
Ristorante Punto e Pasta 1998,50.10792,8.660624,4
MAINKAI CAFE,50.109398,8.685024,1
Bidlabu – Bistro und Bar,50.114197,8.674303,1
Pizzeria Sarita,50.143753,8.726407,4
African Queen,50.117294,8.645855,1
Im Herzen Afrikas,50.10754,8.671546,1
Ariston,50.11545,8.689194,4
Adabina,50.113304,8.692222,1
Iwase,50.116943,8.686371,2
Pizzeria 7 Bello,50.108135,8.660054,4
Ebbelwoi Unser,50.104607,8.68852,3
Thai & Turf - Steakhouse,50.089073,8.67092,1
Bitter & Zart,50.111507,8.684039,4
Restaurant Namaste India,50.118603,8.647574,2
Toh-Thong Thai Cuisine,50.109467,8.66101,2
Kabuki Frankfurt,50.109047,8.67015,2
Romer Pils Brunnen,50.1134,8.683878,0
Restaurant Francais,50.110126,8.67585,0
Best Worscht in Town,50.121353,8.671299,3
Fichtekraenzi,50.10468,8.689012,0
Kaffee Wackers,50.11205,8.679481,3
Der Fette Bulle,50.107723,8.666176,1
Restaurant Sorriso,50.099514,8.680267,1
Ramen Jun Frankfurt,50.113197,8.655895,3
Lohninger,50.105343,8.677897,3
Immer Satt,50.117313,8.645982,0
Zum Baeren,50.098736,8.547668,0
Leon - Zum Goldenen Lowen,50.182602,8.695424,3
Buffalo Steakhaus,50.115826,8.675317,3
Zum Lahmen Esel,50.16938,8.62205,3
Ristorante Sardegna,50.112892,8.686084,4
Goc Pho Vietnamese Street Food,50.113544,8.681619,2
Gorenshi,50.107357,8.625503,2
Muku,50.10596,8.692248,3
Quattro,50.115406,8.686873,4
Stadtsalat,50.117706,8.663234,3
Salzkammer,50.111565,8.678314,0
Gioia,50.104866,8.68971,4
Lafleur,50.121525,8.656618,1
Zum Storch Am Dom,50.110096,8.684891,0
Zu den 12 Aposteln,50.117348,8.686392,3
Flavors Frankfurt Airport,50.05272,8.572332,1
eatDOORI,50.108463,8.668906,2
SuRolls,53.551697,9.995514,1
Stadtsalat,53.55694,9.98913,1
The Table Kevin Fehling,53.542564,10.003078,1
Bianc,53.542965,9.994456,4
Ola Lisboa,53.54604,9.975168,4
Erdapfel Hamburg,53.548714,10.002488,1
Bootshaus Grill und Bar,53.541172,9.990624,0
Der Kiezbaecker,53.549145,9.959934,0
Restaurant Haerlin,53.555668,9.99189,0
Philipps Restaurant,53.558025,9.970912,0
MIt Herz & Zucker Cafe,53.56092,10.030106,1
Hanoi Deli Rathaus,53.549335,9.992981,2
Restaurant Hala,53.559696,9.887603,4
Ristorante Buon Giorno,53.54931,9.983085,4
Estancia Steaks,53.548466,9.995493,0
Ristorante Il Buco,53.555378,10.012231,4
Helo Restaurant,53.55761,9.990124,1
Sagners Bistro Restaurant,53.56213,10.016936,0
Restaurant Ashoka,53.55329,9.965496,1
Heldenplatz Restaurant,53.546757,9.996975,4
FARDi SYRIAN RESTAURANT,53.574833,10.015074,1
[M]eatery Bar + Restaurant Hamburg,53.556683,9.986922,0
Zeik,53.588963,10.001533,1
Panthera Rodizio,53.546207,9.977114,3
Bekaa Libanesisches Restaurant,53.565086,9.977756,1
Capriccio,53.55112,9.980325,4
Pizza Bande,53.548893,9.957529,4
Theo's,53.563225,9.989853,1
NOM vietnamese fusion food,53.549088,9.974997,2
Caramba Especial,53.5447,9.976271,4
NIKKEI NINE,53.55561,9.991575,2
Das Dorf,53.557014,10.0105,0
Restaurant Picasso,53.549984,9.995781,4
Gassenhaur,53.54871,9.96354,1
cantinetta ristorante & bar,53.54411,9.994268,4
Froindlichst,53.59249,10.002586,1
Restaurant L'Orient,53.577263,9.948047,1
Fischereihafen-Restaurant,53.544395,9.935843,4
Speisewirtschaft Opitz,53.56491,10.018611,0
Delta Bistro,53.56232,9.971788,0
Samui Thai Cuisine,53.57765,10.032957,2
Liman Fisch-Restaurant,53.580868,10.012281,4
Ti Breizh Haus der Bretagne,53.545467,9.987606,1
Nord Coast Coffee Roastery,53.5466,9.988176,1
Thai & indisches Restaurant Curry Lounge,53.555984,10.017603,1
Quan Do,53.55345,10.002706,2
Singh Indian Restaurant,53.55451,10.013798,1
Bruecke 10,53.545403,9.963936,3
Hummer Pedersen,53.54445,9.943746,0
Alt Helgolaender Fischerstube,53.545708,9.953043,0
Roy's Restaurant,52.379047,9.750436,4
Botticelli Ristorante,52.408096,9.799632,4
Lindenblatt Burger-Bar,52.379887,9.732485,1
Ristorante-Weinstube Leonardo,52.37256,9.743909,4
Gondel Restaurant,52.37305,9.738978,1
Beef and Reef,52.363396,9.75485,0
Meteora,52.382103,9.737707,4
Ristorante Tesoro,52.37036,9.759839,4
Basil Restaurant,52.39444,9.737903,1
Kytaro - Ihr Grieche,52.339634,9.829199,1
Al Dar,52.375305,9.746832,4
TresOr Restaurant & Bar,52.434235,9.802188,1
Handwerk,52.356888,9.763878,1
BBQ - The Finest Steakhouse,52.350674,9.773565,3
BLOCK HOUSE Am Kropcke,52.37344,9.738653,0
Bavarium,52.372105,9.739614,0
Brauhaus Ernst August,52.37323,9.734594,0
Ristorante Gallo Nero,52.40026,9.804122,4
Boca Chica,52.375847,9.722789,3
Broyhan Haus,52.37191,9.734386,0
Mimi's Thaikitchen,52.35947,9.751006,2
Il Tartufo,52.303032,9.807772,4
Palladion,52.359943,9.855569,1
Sushi-Do,52.37462,9.745009,2
Sultan Palace,52.394432,9.693547,1
Jante,52.370308,9.76069,1
Teestuebchen,52.37258,9.732637,1
Hoi! Willkommen in Sudtirol,52.370255,9.736119,3
Guru,52.389786,9.746645,1
Kuhnstwerk,52.37098,9.737681,1
Schuberts Brasserie,52.35853,9.748772,0
Pier 51,52.3541,9.745897,0
Francesca & Fratelli Pizza Manufaktur,52.373493,9.707531,4
Restaurant Royal City,52.37049,9.739604,3
Street Kitchen,52.372746,9.709707,2
Max Walloschke,52.375957,9.73165,0
Le Feu - Der Flammkuchen in Hannover,52.3833,9.75318,0
Jack the Ripper's London Tavern,52.374447,9.738374,3
Rossini,52.37628,9.747153,4
Ruenthai,52.374233,9.745633,3
Koh-I-Noor Dhaba,52.359882,9.750711,3
The Harp,52.368057,9.720833,3
Masa,52.371387,9.739935,3
Eliniko,52.370316,9.759026,4
BLOCK HOUSE Am Aegi,52.367943,9.744256,3
Outbax Spirit,52.401337,9.80288,3
Das Abendmahl,52.36433,9.747267,4
OJi Long,52.37261,9.733647,2
piu trattoria & espresso bar,52.37416,9.72768,4
Bambus Garden,52.36109,9.83141,2
ZIHNO Kitchen & Bar,51.33627,12.374522,3
Ratskeller,51.336666,12.373047,1
C'est la vie,51.33904,12.368619,0
Restaurant Alfa,51.337936,12.372094,1
Drogerie,51.359104,12.362272,0
Gaststaette Kollektiv,51.322105,12.373281,0
Bayerischer Bahnhof,51.32952,12.3812,0
Indian Crown,51.342125,12.376574,1
IMPERII Restaurant & Bar,51.342175,12.379426,3
Max Enk,51.33846,12.376985,0
Ouzeri Was 'Kost' Das,51.32972,12.346389,3
HANS IM GLUECK Burgergrill & Bar,51.338497,12.379794,1
B10 Restaurant Wine & Gin Bar,51.331993,12.366614,3
Mephisto,51.339615,12.375479,3
Apels Garten,51.33828,12.367965,0
Auerbachs Keller Leipzig,51.339455,12.375479,0
Cafe Madrid,51.340153,12.372858,4
Restaurant Weinstock,51.341057,12.374444,0
Wagners Restaurant & Weinwirtschaft,51.34307,12.372138,0
Pho Viet,51.342213,12.375094,2
Thuringer Hof,51.338303,12.373326,0
Bagel Brothers,51.342842,12.378468,3
Munsters,51.35842,12.360203,0
An Nam,51.340893,12.367794,2
Falco - Restaurant & Bar,51.346462,12.375787,3
Wenzel Leipzig,51.341236,12.372597,1
Biorestaurant Macis,51.337543,12.371969,0
Ha Noi Cuisine,51.342724,12.378301,2
Valentino Leipzig,51.343296,12.372815,4
Killiwilly Irish Pub,51.32537,12.373634,3
Mein Leipzig,51.33675,12.358878,0
Caffeeshop Leipzig Bar Italiano,51.33709,12.385887,3
Restaurant Johann S.,51.339024,12.372228,0
Stadtpfeiffer,51.338306,12.380233,0
Zchaca,51.337597,12.371889,2
Zest,51.307068,12.380161,1
Kildare City Pub,51.34079,12.373703,3
Panorama Tower,51.337837,12.379081,0
Gosenschenke Ohne Bedenken,51.357727,12.367463,0
Schaarschmidts Restaurant,51.366863,12.377268,0
Gasstatte Weinberggarten,51.34463,12.31406,3
Planerts,51.34164,12.379447,2
Viet Village,51.331924,12.367229,2
L'Osteria Leipzig,51.33752,12.371594,4
Rhodos,51.374416,12.385844,3
Cafe Yellow Brasil,51.345833,12.371667,3
Zill's Tunnel,51.3409,12.373209,0
Kuemmel Apotheke,51.33915,12.375534,0
Cafe Puschkin,51.32199,12.373351,3
Rizzi,51.341187,12.375057,4
Chopan Schwabing,48.16159,11.589326,1
Risotto Restaurant Munich,48.154007,11.507164,4
La Boheme,48.17292,11.586714,1
Restaurant Pils Corner,48.18203,11.510222,0
Naxos Taverna,48.16398,11.479082,1
La Tavernetta,48.137398,11.583371,4
Little London Bar & Grill,48.135593,11.580863,1
DinnerHopping,48.136395,11.578016,1
Nur Einmal Leben,48.183304,11.563081,4
Trattoria Da Fausto,48.168663,11.592562,4
Oanh 65,48.13001,11.56006,2
Cupido,48.14285,11.586708,4
Taverna Limani,48.100372,11.58005,4
Ristorantino Il Cortile,48.142124,11.502778,4
True & 12 Handmade Ice Cream,48.131382,11.589847,3
Il Gattopardo - Cucina e Vini,48.15842,11.574919,4
Broeding,48.151,11.534654,0
Saffer's Fattoria,48.111073,11.590964,4
Rosso Mille Miglia,48.13646,11.537314,4
Mystikon,48.11271,11.5844,3
Essence Restaurant,48.150528,11.464167,1
Esszimmer Munchen,48.177147,11.5566,1
Le Stollberg,48.13622,11.582736,0
Thalassa Sendling,48.111195,11.517579,4
Savanna,48.126163,11.561254,1
Servus Heidi,48.139805,11.537947,0
Longgrain Thai Cuisine,48.16528,11.57398,2
Mariannenhof,48.135918,11.586355,1
Oanh,48.150154,11.545317,2
Limoni,48.14877,11.577647,4
Be Thai Style Thai Restaurant,48.163006,11.579866,2
Schwarzreiter Tagesbar & Restaurant,48.1389,11.581427,0
Atelier Gourmet,48.127213,11.592535,3
Schiller Brau,48.13669,11.561178,1
Chopan - am Gasteig,48.131565,11.588517,3
Restaurant Jasmin,48.12381,11.547714,2
Vinothek by Geisel,48.140003,11.562176,0
Thalassa,48.113007,11.701641,4
Caffe Da Me,48.13139,11.581386,3
Steinheil 16,48.149864,11.564041,0
60 Secondi Pizza Napoletana,48.16225,11.589682,4
Nam Giao 31,48.129124,11.562097,2
Les Deux Restaurant & Brasserie by Kieffer,48.13939,11.574663,3
Ksara,48.162384,11.588378,1
Irmi,48.138783,11.557917,0
Muenchner Suppenkueche,48.13467,11.576299,1
Trattoria Il Buco,48.15951,11.558088,4
Restaurant Laurin,48.135323,11.576961,0
Indian Village,48.197968,11.5241,2
Schmalznudel - Cafe Frischhut,48.13495,11.574762,3
5,48.779945,9.178062,1
Hupperts,48.76139,9.151617,0
Zum Ackerbuerger,48.805843,9.216067,0
Brenner,48.774017,9.182452,1
Sushi ONE,48.773106,9.172333,1
Weinstube Am Stadtgraben,48.804977,9.216137,0
Restaurant Christophorus,48.83458,9.152094,0
Jose y Josefina,48.77087,9.155802,4
Der Rote Hirsch,48.804745,9.214343,0
CUBE Restaurant,48.77838,9.177544,1
Triple B - Beef Burger Brothers,48.83013,9.1756,3
Ambiente Africa,48.777615,9.188049,1
Ritzi,48.78413,9.17804,4
Speisemeisterei,48.712578,9.213474,4
Valle Ristorante,48.782494,9.175974,4
Pier 51 Restaurant & Bar,48.748367,9.16704,1
Weinstube Zur Kiste,48.775295,9.182919,0
Japanese Restaurant Kicho,48.771545,9.182182,2
Rotenberger Weingaertle,48.78312,9.27111,4
Onkel Otto,48.76413,9.166044,0
Kwan Kao,48.769432,9.154313,2
Da Salvo,48.756294,9.221244,4
La Bamboo,48.778194,9.15576,2
Weinstube Kachelofen,48.773567,9.177488,0
HIAMI Sushi Bar,48.730347,9.110181,2
Speisekammer West,48.777794,9.154025,0
Goldener Adler,48.762245,9.164244,0
Pizza trullo's,48.833424,9.222182,1
Restaurant Trollinger im Movenpick Hotel Stuttgart Airport,48.691418,9.193611,0
Gasthaus Zum Becher,48.779346,9.187286,0
Burger.Place,48.82911,9.164869,3
[m]eatery bar + restaurant,48.7757,9.174398,3
Schweizers,48.765594,9.177017,0
Dionyssos Im Hirsch,48.726658,9.145046,4
BLOCK HOUSE Arnulf-Klett-Platz,48.78324,9.180617,3
Pinsa Manufaktur,48.77463,9.147459,4
Perbacco Bar Ristorante,48.770428,9.17293,4
Restaurant Ochs-n Willi,48.777992,9.176921,0
ABACCO'S STEAKHOUSE Stuttgart,48.774696,9.172905,3
The Little Greek Taverna,48.80567,9.216595,1
Restaurant Der Zauberlehrling,48.774136,9.184219,0
Die Zirbelstube,48.781746,9.182543,0
Hiro,48.77028,9.149619,2
Tokio Dining,48.795757,9.207694,2
Classic Rock Cafe,48.773266,9.176461,3
Origami Sushi & Asian Cuisine,48.770252,9.176175,2
Weinstube Viertelesschlotzer,48.7792,9.161506,3
Brauereigaststatte Dinkelacker,48.767708,9.170518,0
BLOCK HOUSE Eberhardstrasse,48.77332,9.177735,3
Pho a la Mama,48.828205,9.166675,2
