name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Ginti Indisches Restaurant Cologne,50.934902,6.936425,3747837,1079,33,2171,D,4.5,"Haendelstr. 33 nähe Steigenberger hotel / Rudolfplatz, 50674 Cologne, North Rhine-Westphalia Germany",Indian,Restaurants,$9 - $16,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$9 , $16,B
1980 Cafe & Banh Mi,50.93364,6.94581,10400216,107,34,2171,D,4.5,"Bobstrasse 28, 50676 Cologne, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Beirut Restaurant,50.936916,6.962445,1443514,815,35,2171,D,4.5,"Buttermarkt 3, 50667 Cologne, North Rhine-Westphalia Germany",Healthy,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Haus Scholzen,50.947178,6.923271,983351,195,36,2171,D,4.5,"Venloer Str. 236, 50823 Cologne, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Brauhaus Sunner im Walfisch,50.93764,6.961981,965649,435,37,2171,D,4.0,"Salzgasse 13, 50667 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$4 - $25,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$4 , $25,C
Kuchi Mami,50.94156,6.954003,12620582,409,38,2171,D,4.5,"Komoedienstrasse 43, 50667 Cologne, North Rhine-Westphalia Germany",Sushi,Restaurants,$3 - $18,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $18,B
THE COFFEE GANG,50.930367,6.94098,5818052,102,39,2171,D,5.0,"Hohenstaufenring 19, 50674 Cologne, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,A
Kebapland,50.950886,6.915717,10100789,157,40,2171,D,4.5,"Venloer Str. 385, 50825 Cologne, North Rhine-Westphalia Germany",Fast Food,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,0,0,B
Amabile,50.931232,6.935031,1041860,277,41,2171,E,4.5,"Gorres Str. 2 50674 Cologne, 50674 Cologne, North Rhine-Westphalia Germany",European,Restaurants,$9 - $28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$9 , $28,B
The Great Berry,50.93991,6.938547,10481900,96,42,2171,E,4.5,"Limburger Str. 18, 50672 Cologne, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,$2 - $10,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$2 , $10,B
Steakhouse Ponchos,50.937717,6.961809,779881,515,43,2171,E,4.0,"Salzgasse 11 Koeln, 50667 Cologne, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$16 - $38,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$16 , $38,C
maiBeck,50.940372,6.96196,5294203,384,44,2171,E,4.5,"Am Frankenturm 5, 50667 Cologne, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Die Fette Kuh,50.91815,6.96055,3186729,769,45,2171,E,4.5,"Bonner Str. 43, 50677 Cologne, North Rhine-Westphalia Germany",American,Quick Bites,$5 - $15,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$5 , $15,B
Funkhaus  Cafe Bar Restaurant,50.940372,6.956015,6531518,874,46,2171,E,4.0,"Wallrafplatz 5 50667 Köln, 50667 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$5 - $15,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$5 , $15,C
Pizzeria Da Franco,50.960815,6.949766,1045714,117,47,2171,E,4.5,"Siebachstr. 61, 50733 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$11 - $40,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$11 , $40,B
The Bird,50.93642,6.936633,7315954,444,48,2171,E,4.0,"Aachener Str. 9, 50674 Cologne, North Rhine-Westphalia Germany",American,Restaurants,$8 - $30,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$8 , $30,C
Plomari,50.92022,6.915425,1977951,540,49,2171,E,4.5,"Suelzguertel 96 Ecke Zülpicher Straße, 50937 Cologne, North Rhine-Westphalia Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,0,0,B
Brauhaus Puetz,50.935093,6.937908,782141,438,50,2171,E,4.0,"Engelbertstr. 67, 50674 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$5 - $22,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$5 , $22,C
